# Digitized traces from Genet et al. (2023), their Fig 7 (internal volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,65,20.08,0.8840
pressure,65,21.76,0.8840
pressure,65,23.43,0.8840
pressure,65,25.10,0.8840
pressure,65,26.78,0.8840
pressure,65,28.45,0.8840
pressure,65,30.13,0.8840
pressure,65,31.80,0.8840
pressure,65,33.47,0.8840
pressure,65,35.15,0.8840
pressure,65,36.82,0.8840
pressure,65,38.49,0.8840
pressure,65,40.17,0.8840
pressure,65,41.84,0.8840
pressure,65,43.51,0.8840
pressure,65,45.19,0.8840
pressure,65,46.86,0.8840
pressure,65,48.54,0.8840
pressure,65,50.21,0.8840
pressure,65,51.88,0.8840
pressure,65,53.56,0.8840
pressure,65,55.23,0.8840
pressure,65,56.90,0.8840
pressure,65,58.58,0.8840
pressure,65,60.25,0.8840
pressure,65,61.92,0.8840
pressure,65,63.60,0.8840
pressure,65,65.27,0.8840
pressure,65,66.95,0.8840
pressure,65,68.62,0.8840
pressure,65,70.29,0.8840
pressure,65,71.97,0.8840
pressure,65,73.64,0.8840
pressure,65,75.31,0.8840
pressure,65,76.99,0.8840
pressure,65,78.66,0.8840
pressure,65,80.33,0.8840
pressure,65,82.01,0.8840
pressure,65,83.68,0.8840
pressure,65,85.36,0.8840
pressure,65,87.03,0.8840
pressure,65,88.70,0.8840
pressure,65,90.38,0.8840
pressure,65,92.05,0.8840
pressure,65,93.72,0.8840
pressure,65,95.40,0.8840
pressure,65,97.07,0.8840
pressure,65,98.74,0.8840
pressure,65,100.42,0.8840
pressure,65,102.09,0.8840
pressure,65,103.77,0.8840
pressure,65,105.44,0.8840
pressure,65,107.11,0.8840
pressure,65,108.79,0.8840
pressure,65,110.46,0.8840
pressure,65,112.13,0.8840
pressure,65,113.81,0.8840
pressure,65,115.48,0.8840
pressure,65,117.15,0.8840
pressure,65,118.83,0.8840
pressure,65,120.50,0.8840
pressure,65,122.18,0.8840
pressure,65,123.85,0.8840
pressure,65,125.52,0.8840
pressure,65,127.20,0.8840
pressure,65,128.87,0.9201
pressure,65,130.54,0.9923
pressure,65,132.22,1.0464
pressure,65,133.89,1.1546
pressure,65,135.56,1.2809
pressure,65,137.24,1.3892
pressure,65,138.91,1.5515
pressure,65,140.59,1.7139
pressure,65,142.26,1.8943
pressure,65,143.93,2.0928
pressure,65,145.61,2.2912
pressure,65,147.28,2.4897
pressure,65,148.95,2.7242
pressure,65,150.63,2.9407
pressure,65,152.30,3.1933
pressure,65,153.97,3.4459
pressure,65,155.65,3.6804
pressure,65,157.32,3.9510
pressure,65,159.00,5.0696
pressure,65,160.67,5.3582
pressure,65,162.34,5.6469
pressure,65,164.02,5.9536
pressure,65,165.69,6.2603
pressure,65,167.36,6.5670
pressure,65,169.04,6.8918
pressure,65,170.71,7.1624
pressure,65,172.38,7.4691
pressure,65,174.06,7.7938
pressure,65,175.73,7.9381
pressure,65,177.41,8.0825
pressure,65,179.08,8.2088
pressure,65,180.75,8.4974
pressure,65,182.43,8.8041
pressure,65,184.10,9.0567
pressure,65,185.77,9.3634
pressure,65,187.45,9.6160
pressure,65,189.12,9.9046
pressure,65,190.79,10.1572
pressure,65,192.47,10.3918
pressure,65,194.14,10.6082
pressure,65,195.82,10.8428
pressure,65,197.49,11.0412
pressure,65,199.16,11.2216
pressure,65,200.84,11.4021
pressure,65,202.51,11.5464
pressure,65,204.18,11.6907
pressure,65,205.86,11.7990
pressure,65,207.53,11.9433
pressure,65,209.21,12.0335
pressure,65,210.88,12.1418
pressure,65,212.55,12.1959
pressure,65,214.23,12.2861
pressure,65,215.90,12.3763
pressure,65,217.57,12.4304
pressure,65,219.25,12.4845
pressure,65,220.92,12.5206
pressure,65,222.59,12.5567
pressure,65,224.27,12.5928
pressure,65,225.94,12.6289
pressure,65,227.62,12.6469
pressure,65,229.29,12.6830
pressure,65,230.96,12.7010
pressure,65,232.64,12.7191
pressure,65,234.31,12.7191
pressure,65,235.98,12.7371
pressure,65,237.66,12.7552
pressure,65,239.33,12.7552
pressure,65,241.00,12.7552
pressure,65,242.68,12.7732
pressure,65,244.35,12.7732
pressure,65,246.03,12.7732
pressure,65,247.70,12.7732
pressure,65,249.37,12.7732
pressure,65,251.05,12.7732
pressure,65,252.72,12.7552
pressure,65,254.39,12.7552
pressure,65,256.07,12.7552
pressure,65,257.74,12.7552
pressure,65,259.41,12.7552
pressure,65,261.09,12.7371
pressure,65,262.76,12.7371
pressure,65,264.44,12.7371
pressure,65,266.11,12.7371
pressure,65,267.78,12.7191
pressure,65,269.46,12.7191
pressure,65,271.13,12.7191
pressure,65,272.80,12.7010
pressure,65,274.48,12.7010
pressure,65,276.15,12.6830
pressure,65,277.82,12.6830
pressure,65,279.50,12.6830
pressure,65,281.17,12.6649
pressure,65,282.85,12.6649
pressure,65,284.52,12.6469
pressure,65,286.19,12.6469
pressure,65,287.87,12.6469
pressure,65,289.54,12.6469
pressure,65,291.21,12.6289
pressure,65,292.89,12.6108
pressure,65,294.56,12.6108
pressure,65,296.23,12.6108
pressure,65,297.91,12.5928
pressure,65,299.58,12.5928
pressure,65,301.26,12.5928
pressure,65,302.93,12.5747
pressure,65,304.60,12.5747
pressure,65,306.28,12.5567
pressure,65,307.95,12.5567
pressure,65,309.62,12.5567
pressure,65,311.30,12.5387
pressure,65,312.97,12.5387
pressure,65,314.64,12.5206
pressure,65,316.32,12.5206
pressure,65,317.99,12.5026
pressure,65,319.67,12.5026
pressure,65,321.34,12.4845
pressure,65,323.01,12.4845
pressure,65,324.69,12.4845
pressure,65,326.36,12.4665
pressure,65,328.03,12.4665
pressure,65,329.71,12.4485
pressure,65,331.38,12.4485
pressure,65,333.05,12.4304
pressure,65,334.73,12.4304
pressure,65,336.40,12.4124
pressure,65,338.08,12.3943
pressure,65,339.75,12.3763
pressure,65,341.42,12.3582
pressure,65,343.10,12.3402
pressure,65,344.77,12.3041
pressure,65,346.44,12.3041
pressure,65,348.12,12.2680
pressure,65,349.79,12.2320
pressure,65,351.46,12.1959
pressure,65,353.14,12.1778
pressure,65,354.81,12.1598
pressure,65,356.49,12.1237
pressure,65,358.16,12.0876
pressure,65,359.83,12.0515
pressure,65,361.51,12.0155
pressure,65,363.18,11.9794
pressure,65,364.85,11.9613
pressure,65,366.53,11.9253
pressure,65,368.20,11.8892
pressure,65,369.87,11.8351
pressure,65,371.55,11.7990
pressure,65,373.22,11.7629
pressure,65,374.90,11.7268
pressure,65,376.57,11.6727
pressure,65,378.24,11.6366
pressure,65,379.92,11.6005
pressure,65,381.59,11.5464
pressure,65,383.26,11.5103
pressure,65,384.94,11.4742
pressure,65,386.61,11.2938
pressure,65,388.28,11.2397
pressure,65,389.96,11.2036
pressure,65,391.63,11.1495
pressure,65,393.31,11.0954
pressure,65,394.98,11.0593
pressure,65,396.65,10.9871
pressure,65,398.33,10.9510
pressure,65,400.00,10.8789
pressure,65,401.67,10.8428
pressure,65,403.35,10.7706
pressure,65,405.02,10.7345
pressure,65,406.69,10.6443
pressure,65,408.37,10.5361
pressure,65,410.04,10.3737
pressure,65,411.72,10.1572
pressure,65,413.39,9.8325
pressure,65,415.06,9.5077
pressure,65,416.74,9.0567
pressure,65,418.41,8.6237
pressure,65,420.08,8.1366
pressure,65,421.76,7.6495
pressure,65,423.43,7.1985
pressure,65,425.10,6.7835
pressure,65,426.78,6.3866
pressure,65,428.45,5.9897
pressure,65,430.13,5.6469
pressure,65,431.80,5.3041
pressure,65,433.47,4.9974
pressure,65,435.15,4.7088
pressure,65,436.82,4.4201
pressure,65,438.49,4.1495
pressure,65,440.17,3.9149
pressure,65,441.84,3.6804
pressure,65,443.51,3.4639
pressure,65,445.19,3.2474
pressure,65,446.86,3.0490
pressure,65,448.54,2.8686
pressure,65,450.21,2.7062
pressure,65,451.88,2.5438
pressure,65,453.56,2.3995
pressure,65,455.23,2.2552
pressure,65,456.90,2.1289
pressure,65,458.58,1.9845
pressure,65,460.25,1.8582
pressure,65,461.92,1.7680
pressure,65,463.60,1.6598
pressure,65,465.27,1.5696
pressure,65,466.95,1.4613
pressure,65,468.62,1.3711
pressure,65,470.29,1.2990
pressure,65,471.97,1.2268
pressure,65,473.64,1.1546
pressure,65,475.31,1.0825
pressure,65,476.99,1.0103
pressure,65,478.66,0.9562
pressure,65,480.33,0.9021
pressure,65,482.01,0.8479
pressure,65,483.68,0.8119
pressure,65,485.36,0.7397
pressure,65,487.03,0.7036
pressure,65,488.70,0.6675
pressure,65,490.38,0.6134
pressure,65,492.05,0.5773
pressure,65,493.72,0.5593
pressure,65,495.40,0.5412
pressure,65,497.07,0.5232
pressure,65,498.74,0.5232
pressure,65,500.42,0.5232
pressure,65,502.09,0.5052
pressure,65,503.77,0.5052
pressure,65,505.44,0.5052
pressure,65,507.11,0.4871
pressure,65,508.79,0.4871
pressure,65,510.46,0.4871
pressure,65,512.13,0.4871
pressure,65,513.81,0.4871
pressure,65,515.48,0.4691
pressure,65,517.15,0.4691
pressure,65,518.83,0.4691
pressure,65,520.50,0.4691
pressure,65,522.18,0.4691
pressure,65,523.85,0.4691
pressure,65,525.52,0.4691
pressure,65,527.20,0.4691
pressure,65,528.87,0.4691
pressure,65,530.54,0.4691
pressure,65,532.22,0.4691
pressure,65,533.89,0.4691
pressure,65,535.56,0.4691
pressure,65,537.24,0.4691
pressure,65,538.91,0.4691
pressure,65,540.59,0.4691
pressure,65,542.26,0.4691
pressure,65,543.93,0.4871
pressure,65,545.61,0.4871
pressure,65,547.28,0.4871
pressure,65,548.95,0.4871
pressure,65,550.63,0.4871
pressure,65,552.30,0.4871
pressure,65,553.97,0.4871
pressure,65,555.65,0.4871
pressure,65,557.32,0.4871
pressure,65,559.00,0.5052
pressure,65,560.67,0.5052
pressure,65,562.34,0.5052
pressure,65,564.02,0.5052
pressure,65,565.69,0.5052
pressure,65,567.36,0.5052
pressure,65,569.04,0.5052
pressure,65,570.71,0.5052
pressure,65,572.38,0.5052
pressure,65,574.06,0.5052
pressure,65,575.73,0.5232
pressure,65,577.41,0.5232
pressure,65,579.08,0.5232
pressure,65,580.75,0.5232
pressure,65,582.43,0.5232
pressure,65,584.10,0.5232
pressure,65,585.77,0.5232
pressure,65,587.45,0.5232
pressure,65,589.12,0.5232
pressure,65,590.79,0.5232
pressure,65,592.47,0.5232
pressure,65,594.14,0.5232
pressure,65,595.82,0.5232
pressure,65,597.49,0.5232
pressure,65,599.16,0.5412
pressure,65,600.84,0.5412
pressure,65,602.51,0.5412
pressure,65,604.18,0.5412
pressure,65,605.86,0.5412
pressure,65,607.53,0.5412
pressure,65,609.21,0.5412
pressure,65,610.88,0.5412
pressure,65,612.55,0.5412
pressure,65,614.23,0.5412
pressure,65,615.90,0.5412
pressure,65,617.57,0.5412
pressure,65,619.25,0.5412
pressure,65,620.92,0.5412
pressure,65,622.59,0.5412
pressure,65,624.27,0.5412
pressure,65,625.94,0.5412
pressure,65,627.62,0.5412
pressure,65,629.29,0.5412
pressure,65,630.96,0.5412
pressure,65,632.64,0.5412
pressure,65,634.31,0.5412
pressure,65,635.98,0.5412
pressure,65,637.66,0.5412
pressure,65,639.33,0.5412
pressure,65,641.00,0.5412
pressure,65,642.68,0.5412
pressure,65,644.35,0.5412
pressure,65,646.03,0.5412
pressure,65,647.70,0.5412
pressure,65,649.37,0.5412
pressure,65,651.05,0.5412
pressure,65,652.72,0.5412
pressure,65,654.39,0.5412
pressure,65,656.07,0.5412
pressure,65,657.74,0.5412
pressure,65,659.41,0.5412
pressure,65,661.09,0.5412
pressure,65,662.76,0.5412
pressure,65,664.44,0.5412
pressure,65,666.11,0.5593
pressure,65,667.78,0.5593
pressure,65,669.46,0.5593
pressure,65,671.13,0.5773
pressure,65,672.80,0.5773
